./cwe_079_samples/bad/CWE_79__object-classicGet__func_addslashes__Unsafe_use_untrusted_data-tag_Name.php,ECHO_CONST NOP NEW __CONSTRUCT GET FETCH_DIM_R ASSIGN_OBJ OP_DATA RETURN ASSIGN INIT_METHOD_CALL GETINPUT ASSIGN INIT_FCALL SEND_VAR ADDSLASHES ASSIGN CONCAT CONCAT ECHO_SINK_SINGLE_QUOTE_JS_BLOCK ECHO_CONST RETURN,1
./cwe_079_samples/bad/CWE_79__backticks__func_mysql_real_escape_string__Use_untrusted_data-body.php,ECHO_CONST INIT_FCALL SEND_VAL SHELL_EXEC ASSIGN INIT_FCALL_BY_NAME SEND_VAR_EX MYSQL_REAL_ESCAPE_STRING ASSIGN ECHO_SINK_DOUBLE_QUOTE_CSS_VAL ECHO_CONST RETURN,1
./cwe_079_samples/bad/CWE_79__GET__func_FILTER-CLEANING-full_special_chars_filter__Use_untrusted_data_propertyValue_CSS-quoted_Property_Value.php,ECHO_CONST GET FETCH_DIM_R ASSIGN INIT_FCALL SEND_VAR SEND_VAL FILTER_VAR ASSIGN ASSIGN CONCAT CONCAT ECHO_SINK_DOUBLE_QUOTE_ATTR_VAL ECHO_CONST RETURN,1
./cwe_079_samples/bad/CWE_79__SESSION__func_preg_replace__Use_untrusted_data-div.php,ECHO_CONST FETCH_R FETCH_DIM_R ASSIGN INIT_FCALL SEND_VAL SEND_VAL SEND_VAR PREG_REPLACE ASSIGN ECHO_SINK_DOUBLE_QUOTE_CSS_VAL ECHO_CONST RETURN,1
./cwe_079_samples/bad/CWE_79__GET__func_FILTER-CLEANING-special_chars_filter__Unsafe_use_untrusted_data-attribute_Name.php,ECHO_CONST GET FETCH_DIM_R ASSIGN INIT_FCALL SEND_VAR SEND_VAL FILTER_VAR ASSIGN ASSIGN CONCAT CONCAT ECHO_SINK_SINGLE_QUOTE_ATTR_VAL ECHO_CONST RETURN,1
./cwe_079_samples/bad/CWE_79__array-GET__func_FILTER-CLEANING-email_filter__Unsafe_use_untrusted_data-script.php,ECHO_CONST ASSIGN ASSIGN_DIM OP_DATA GET FETCH_DIM_R ASSIGN_DIM OP_DATA ASSIGN_DIM OP_DATA FETCH_DIM_R ASSIGN INIT_FCALL SEND_VAR SEND_VAL FILTER_VAR ASSIGN INIT_FCALL SEND_VAR SEND_VAL FILTER_VAR JMPZ ASSIGN JMP ASSIGN ECHO_SINK_DOUBLE_QUOTE_CSS_VAL ECHO_CONST RETURN,1
./cwe_079_samples/bad/CWE_79__system__func_FILTER-CLEANING-magic_quotes_filter__Use_untrusted_data_script-window_SetInterval.php,ECHO_CONST INIT_FCALL SEND_VAL SEND_REF SYSTEM ASSIGN INIT_FCALL SEND_VAR SEND_VAL FILTER_VAR ASSIGN ASSIGN CONCAT CONCAT ECHO_SINK_HTML_TAG_NAME ECHO_CONST RETURN,1
./cwe_079_samples/bad/CWE_79__object-directGet__func_FILTER-VALIDATION-number_float_filter__Unsafe_use_untrusted_data-comment.php,ECHO_CONST NOP NEW __CONSTRUCT ASSIGN INIT_METHOD_CALL GETINPUT GET FETCH_DIM_R RETURN ASSIGN INIT_FCALL SEND_VAR SEND_VAL FILTER_VAR JMPZ ASSIGN JMP ASSIGN ECHO_SINK_DOUBLE_QUOTE_CSS_VAL ECHO_CONST RETURN,1
./cwe_079_samples/bad/CWE_79__backticks__func_htmlentities__Use_untrusted_data_attribute-unquoted_Attr.php,ECHO_CONST INIT_FCALL SEND_VAL SHELL_EXEC ASSIGN INIT_FCALL SEND_VAR SEND_VAL HTMLENTITIES ASSIGN CONCAT CONCAT ECHO_SINK_ATTR_NAME ECHO_CONST RETURN,1
./cwe_079_samples/bad/CWE_79__object-indexArray__func_htmlentities__Use_untrusted_data_script-window_SetInterval.php,ECHO_CONST NOP NEW __CONSTRUCT ASSIGN_OBJ OP_DATA FETCH_OBJ_W ASSIGN_DIM OP_DATA GET FETCH_DIM_R FETCH_OBJ_W ASSIGN_DIM OP_DATA FETCH_OBJ_W ASSIGN_DIM OP_DATA RETURN ASSIGN INIT_METHOD_CALL GETINPUT ASSIGN INIT_FCALL SEND_VAR SEND_VAL HTMLENTITIES ASSIGN CONCAT CONCAT ECHO_SINK_HTML_TAG_NAME ECHO_CONST RETURN,1
